LAT,LON,YEAR,MO,DY,T2M,ALLSKY_SFC_SW_DWN
33.40641,-111.94259,1985,1,1,6.38,3.59
33.40641,-111.94259,1985,1,2,4.58,3.57
33.40641,-111.94259,1985,1,3,5.01,3.7
33.40641,-111.94259,1985,1,4,6.73,3.65
33.40641,-111.94259,1985,1,5,9.71,3.7
33.40641,-111.94259,1985,1,6,10.36,2.75
33.40641,-111.94259,1985,1,7,9.46,1.47
33.40641,-111.94259,1985,1,8,8.24,0.88
33.40641,-111.94259,1985,1,9,7.84,2.49
33.40641,-111.94259,1985,1,10,9.07,3.83
33.40641,-111.94259,1985,1,11,9.73,3.9
33.40641,-111.94259,1985,1,12,7.87,2.24
33.40641,-111.94259,1985,1,13,5.65,2.45
33.40641,-111.94259,1985,1,14,7.77,3.35
33.40641,-111.94259,1985,1,15,8.25,3.81
33.40641,-111.94259,1985,1,16,7.68,4.05
33.40641,-111.94259,1985,1,17,8.25,3.99
33.40641,-111.94259,1985,1,18,9.45,4.23
33.40641,-111.94259,1985,1,19,11.21,4.17
33.40641,-111.94259,1985,1,20,11.77,4.14
33.40641,-111.94259,1985,1,21,10.89,3.66
33.40641,-111.94259,1985,1,22,11.03,2.68
33.40641,-111.94259,1985,1,23,10.25,1.44
33.40641,-111.94259,1985,1,24,11.32,3.32
33.40641,-111.94259,1985,1,25,12.58,3.1
33.40641,-111.94259,1985,1,26,11.54,1.67
33.40641,-111.94259,1985,1,27,9.33,1.44
33.40641,-111.94259,1985,1,28,8.56,3.59
33.40641,-111.94259,1985,1,29,8.61,3.59
33.40641,-111.94259,1985,1,30,6.21,2.17
33.40641,-111.94259,1985,1,31,1.41,3.87
33.40641,-111.94259,1985,2,1,-0.42,4.3
33.40641,-111.94259,1985,2,2,2.28,2.13
33.40641,-111.94259,1985,2,3,4.22,1.42
33.40641,-111.94259,1985,2,4,4.17,3.02
33.40641,-111.94259,1985,2,5,3.44,4.31
33.40641,-111.94259,1985,2,6,5.31,3.81
33.40641,-111.94259,1985,2,7,7.3,4.18
33.40641,-111.94259,1985,2,8,10.42,4.13
33.40641,-111.94259,1985,2,9,10.27,2.27
33.40641,-111.94259,1985,2,10,10.49,4.57
33.40641,-111.94259,1985,2,11,8.85,4.58
33.40641,-111.94259,1985,2,12,12.04,4.53
33.40641,-111.94259,1985,2,13,13.47,5.13
33.40641,-111.94259,1985,2,14,12.72,5.2
33.40641,-111.94259,1985,2,15,13.64,5.26
33.40641,-111.94259,1985,2,16,15.9,5.32
33.40641,-111.94259,1985,2,17,16.14,4.45
33.40641,-111.94259,1985,2,18,16.47,3.41
33.40641,-111.94259,1985,2,19,15.46,3.64
33.40641,-111.94259,1985,2,20,14.25,4.31
33.40641,-111.94259,1985,2,21,9.22,2.01
33.40641,-111.94259,1985,2,22,7.18,1.11
33.40641,-111.94259,1985,2,23,9.37,5.25
33.40641,-111.94259,1985,2,24,9.91,5.66
33.40641,-111.94259,1985,2,25,12.28,5.83
33.40641,-111.94259,1985,2,26,14.93,5.85
33.40641,-111.94259,1985,2,27,15.49,4.98
33.40641,-111.94259,1985,2,28,16.83,5.16
33.40641,-111.94259,1985,3,1,15.66,5.44
33.40641,-111.94259,1985,3,2,12.99,4.45
33.40641,-111.94259,1985,3,3,6.92,2.27
33.40641,-111.94259,1985,3,4,7.96,6.03
33.40641,-111.94259,1985,3,5,12.47,5.6
33.40641,-111.94259,1985,3,6,12.82,4.45
33.40641,-111.94259,1985,3,7,13.05,4.34
33.40641,-111.94259,1985,3,8,15.39,2.31
33.40641,-111.94259,1985,3,9,19.5,4.19
33.40641,-111.94259,1985,3,10,18.21,2.78
33.40641,-111.94259,1985,3,11,16.1,1.2
33.40641,-111.94259,1985,3,12,14.35,5.5
33.40641,-111.94259,1985,3,13,14.39,6.71
33.40641,-111.94259,1985,3,14,15.27,4.44
33.40641,-111.94259,1985,3,15,11.34,3.51
33.40641,-111.94259,1985,3,16,13.15,4.81
33.40641,-111.94259,1985,3,17,15.42,5.3
33.40641,-111.94259,1985,3,18,16.33,5.57
33.40641,-111.94259,1985,3,19,9.77,3.94
33.40641,-111.94259,1985,3,20,14.43,6.4
33.40641,-111.94259,1985,3,21,16.15,6.6
33.40641,-111.94259,1985,3,22,16.1,7
33.40641,-111.94259,1985,3,23,16.27,7.43
33.40641,-111.94259,1985,3,24,18.63,7.13
33.40641,-111.94259,1985,3,25,18.45,6.89
33.40641,-111.94259,1985,3,26,15.03,6.55
33.40641,-111.94259,1985,3,27,14.77,5.63
33.40641,-111.94259,1985,3,28,14.25,3.81
33.40641,-111.94259,1985,3,29,9.07,4.23
33.40641,-111.94259,1985,3,30,10.27,7.07
33.40641,-111.94259,1985,3,31,13.54,7.43
33.40641,-111.94259,1985,4,1,17.32,7.36
33.40641,-111.94259,1985,4,2,20.5,7.59
33.40641,-111.94259,1985,4,3,21.85,7.22
33.40641,-111.94259,1985,4,4,20.88,7.25
33.40641,-111.94259,1985,4,5,20.09,6.95
33.40641,-111.94259,1985,4,6,21.94,7.41
33.40641,-111.94259,1985,4,7,23.6,6.4
