LAT,LON,YEAR,MO,DY,T2M_RANGE,ALLSKY_SFC_SW_DWN
33.42011,-112.04149,2000,1,1,11.59,3.33
33.42011,-112.04149,2000,1,2,10.59,3.06
33.42011,-112.04149,2000,1,3,15.84,3.38
33.42011,-112.04149,2000,1,4,18.4,3.42
33.42011,-112.04149,2000,1,5,17,3.45
33.42011,-112.04149,2000,1,6,15.33,3.75
33.42011,-112.04149,2000,1,7,18.05,3.46
33.42011,-112.04149,2000,1,8,16.4,3.62
33.42011,-112.04149,2000,1,9,16.77,3.45
33.42011,-112.04149,2000,1,10,17.85,3.52
33.42011,-112.04149,2000,1,11,14.7,3.41
33.42011,-112.04149,2000,1,12,16.52,3.31
33.42011,-112.04149,2000,1,13,19.58,3.61
33.42011,-112.04149,2000,1,14,16.77,3.32
33.42011,-112.04149,2000,1,15,19.89,2.92
33.42011,-112.04149,2000,1,16,17.72,3.13
33.42011,-112.04149,2000,1,17,15.18,2.41
33.42011,-112.04149,2000,1,18,10.69,2.87
33.42011,-112.04149,2000,1,19,14.47,3.58
33.42011,-112.04149,2000,1,20,12.27,3.49
33.42011,-112.04149,2000,1,21,11.95,2.42
33.42011,-112.04149,2000,1,22,9.91,2.95
33.42011,-112.04149,2000,1,23,16.4,3.36
33.42011,-112.04149,2000,1,24,14.39,3.18
33.42011,-112.04149,2000,1,25,17.42,1.47
33.42011,-112.04149,2000,1,26,10.8,3.51
33.42011,-112.04149,2000,1,27,15.49,4.11
33.42011,-112.04149,2000,1,28,15.24,3.99
33.42011,-112.04149,2000,1,29,14.54,4.05
33.42011,-112.04149,2000,1,30,14.74,3.41
33.42011,-112.04149,2000,1,31,11.06,2.97
33.42011,-112.04149,2000,2,1,16.7,4.02
33.42011,-112.04149,2000,2,2,17.83,4.26
33.42011,-112.04149,2000,2,3,19.87,3.99
33.42011,-112.04149,2000,2,4,18.43,3.85
33.42011,-112.04149,2000,2,5,16,3.54
33.42011,-112.04149,2000,2,6,15.29,4.23
33.42011,-112.04149,2000,2,7,20.21,4.3
33.42011,-112.04149,2000,2,8,17.69,2.64
33.42011,-112.04149,2000,2,9,13.77,3.82
33.42011,-112.04149,2000,2,10,14.37,4.23
33.42011,-112.04149,2000,2,11,13.36,4.17
33.42011,-112.04149,2000,2,12,13.44,3.14
33.42011,-112.04149,2000,2,13,14.26,3.44
33.42011,-112.04149,2000,2,14,14.21,3.93
33.42011,-112.04149,2000,2,15,16.46,4.7
33.42011,-112.04149,2000,2,16,11.83,1.82
33.42011,-112.04149,2000,2,17,10.85,4.67
33.42011,-112.04149,2000,2,18,15.29,3.89
33.42011,-112.04149,2000,2,19,18.48,4.04
